選區英文簡稱,選區中文,
CHA,彰化縣,
CYI,嘉義市,
CYQ,嘉義縣,
HSQ,新竹縣,
HSZ,新竹市,
HUA,花蓮縣,
ILA,宜蘭縣,
KEE,基隆市,
KHH,高雄市,
KHQ,高雄市,
MIA,苗栗縣,
NAN,南投縣,
PEN,澎湖縣,
PIF,屏東縣,
TAO,桃園市,
TNN,臺南市,
TNQ,臺南市,
TPE,臺北市,
TPQ,新北市,
TTT,臺東縣,
TXG,臺中市,
TXQ,臺中市,
YUN,雲林縣,
JME,金門縣,
LJF,連江縣,
LAB,平地原住民,lowland aborigine
MAB,山地原住民,moutain aborigine
